dtime,time,open,high,low,close,vwap,volume,count
2025-04-12 16:35:00,1744475700,84793.8,84806.2,84793.8,84806.2,84801.1,0.0234187,11
2025-04-12 16:34:00,1744475640,84802.0,84804.7,84793.7,84793.7,84798.1,0.10560411,23
2025-04-12 16:33:00,1744475580,84898.0,84898.0,84794.6,84798.1,84838.4,0.79990649,59
2025-04-12 16:32:00,1744475520,84924.0,84924.0,84899.6,84899.6,84918.3,0.01656967,13
2025-04-12 16:31:00,1744475460,84962.4,84962.4,84904.8,84923.9,84916.9,0.47237521,36
2025-04-12 16:30:00,1744475400,84986.9,84986.9,84959.2,84962.4,84980.3,0.30126459,22
2025-04-12 16:29:00,1744475340,84986.8,84986.9,84986.8,84986.9,84986.8,0.0311836,18
2025-04-12 16:28:00,1744475280,84972.2,84984.2,84972.2,84984.2,84981.5,0.02122144,10
2025-04-12 16:27:00,1744475220,85001.0,85001.1,84969.1,84972.2,85000.3,0.47526939,18
2025-04-12 16:26:00,1744475160,85028.4,85028.4,85001.0,85001.0,85003.1,0.163396,19
2025-04-12 16:25:00,1744475100,85061.1,85061.1,85024.6,85028.4,85025.2,5.0434872,29
2025-04-12 16:24:00,1744475040,85061.2,85061.2,85061.1,85061.2,85061.1,0.06483432,12
2025-04-12 16:23:00,1744474980,85037.2,85061.2,85037.2,85061.2,85057.8,0.01036335,17
2025-04-12 16:22:00,1744474920,85000.0,85037.5,85000.0,85037.2,85006.4,0.05690186,21
2025-04-12 16:21:00,1744474860,84979.5,85000.0,84979.5,85000.0,84992.2,0.05666029,21
2025-04-12 16:20:00,1744474800,84969.1,84977.9,84969.1,84977.9,84972.1,0.03962611,17
2025-04-12 16:19:00,1744474740,84940.0,84978.0,84940.0,84969.0,84968.6,0.03772664,22
2025-04-12 16:18:00,1744474680,84899.7,84940.0,84899.7,84940.0,84911.0,0.14533987,24
2025-04-12 16:17:00,1744474620,84850.0,84899.7,84850.0,84899.6,84850.6,2.06931814,43
2025-04-12 16:16:00,1744474560,84857.2,84857.2,84850.0,84850.1,84851.1,0.07380238,42
2025-04-12 16:15:00,1744474500,84887.4,84887.4,84857.1,84857.2,84866.1,0.00684082,10
2025-04-12 16:14:00,1744474440,84850.0,84887.4,84849.9,84887.4,84851.9,0.53995657,27
2025-04-12 16:13:00,1744474380,84850.0,84850.0,84844.8,84849.9,84846.2,0.09856368,17
2025-04-12 16:12:00,1744474320,84850.0,84850.0,84844.9,84850.0,84847.3,0.01691408,9
2025-04-12 16:11:00,1744474260,84862.6,84862.6,84849.9,84849.9,84852.8,1.12306996,21
2025-04-12 16:10:00,1744474200,84887.4,84887.4,84862.6,84862.6,84884.4,0.11985372,19
2025-04-12 16:09:00,1744474140,84865.4,84887.4,84865.4,84887.4,84887.1,0.7632732,14
2025-04-12 16:08:00,1744474080,84906.1,84906.1,84862.3,84862.3,84894.1,0.17358518,35
2025-04-12 16:07:00,1744474020,84906.1,84906.1,84906.0,84906.0,84906.0,0.44513437,12
2025-04-12 16:06:00,1744473960,85023.0,85023.0,84906.0,84906.1,84992.9,1.9280719,57
2025-04-12 16:05:00,1744473900,85125.9,85126.0,85023.1,85023.1,85055.3,0.24093438,39
2025-04-12 16:04:00,1744473840,85126.0,85126.0,85125.9,85125.9,85125.9,0.0389599,10
2025-04-12 16:03:00,1744473780,85102.0,85126.0,85102.0,85126.0,85121.6,0.08465463,31
2025-04-12 16:02:00,1744473720,85045.2,85102.0,85042.8,85102.0,85052.5,0.07455409,51
2025-04-12 16:01:00,1744473660,85045.3,85045.3,85040.9,85045.2,85045.2,0.05313421,17
2025-04-12 16:00:00,1744473600,85000.1,85045.3,85000.0,85045.3,85016.0,0.07117916,34
2025-04-12 15:59:00,1744473540,85020.5,85023.5,85000.0,85000.1,85003.9,0.66532156,31
2025-04-12 15:58:00,1744473480,85070.4,85070.4,85014.0,85021.9,85061.5,2.05106149,40
2025-04-12 15:57:00,1744473420,85070.4,85070.4,85070.3,85070.4,85070.3,0.33193231,21
2025-04-12 15:56:00,1744473360,85070.3,85070.4,85070.3,85070.3,85070.3,1.81603106,7
2025-04-12 15:55:00,1744473300,85070.4,85071.3,85070.3,85070.4,85070.5,10.43476796,42
2025-04-12 15:54:00,1744473240,85086.0,85086.0,85070.3,85073.6,85070.9,36.72847457,62
2025-04-12 15:53:00,1744473180,85104.1,85104.1,85070.3,85081.0,85078.0,17.79028417,35
2025-04-12 15:52:00,1744473120,85122.1,85122.1,85104.2,85107.4,85104.9,1.17929738,15
2025-04-12 15:51:00,1744473060,85125.9,85126.0,85122.1,85122.1,85125.7,0.02081927,10
2025-04-12 15:50:00,1744473000,85130.3,85185.6,85105.7,85126.0,85153.8,1.40684402,46
2025-04-12 15:49:00,1744472940,85147.6,85147.7,85111.2,85125.1,85133.0,1.35557534,36
2025-04-12 15:48:00,1744472880,85147.6,85149.5,85147.6,85147.7,85147.6,0.24072331,19
2025-04-12 15:47:00,1744472820,85248.0,85248.0,85148.9,85148.9,85196.0,0.78764345,40
2025-04-12 15:46:00,1744472760,85340.5,85340.5,85250.0,85250.0,85278.9,1.21603708,39
2025-04-12 15:45:00,1744472700,85282.9,85346.5,85282.9,85340.5,85341.3,14.64252829,37
2025-04-12 15:44:00,1744472640,85371.9,85372.3,85283.0,85283.0,85357.7,1.8719591,37
2025-04-12 15:43:00,1744472580,85274.9,85372.0,85274.9,85372.0,85342.2,4.63141874,112
2025-04-12 15:42:00,1744472520,85300.0,85300.0,85263.1,85266.2,85298.3,1.0528085,29
2025-04-12 15:41:00,1744472460,85185.4,85300.0,85185.2,85299.9,85276.0,11.93962377,97
2025-04-12 15:40:00,1744472400,85141.2,85194.1,85141.2,85188.9,85155.9,3.83793317,24
2025-04-12 15:39:00,1744472340,85250.0,85250.0,85132.3,85140.2,85185.3,0.32186918,44
2025-04-12 15:38:00,1744472280,85249.9,85250.0,85249.9,85250.0,85249.9,1.0910195,24
2025-04-12 15:37:00,1744472220,85200.0,85250.0,85200.0,85250.0,85220.1,55.26805712,99
2025-04-12 15:36:00,1744472160,85168.9,85200.0,85168.8,85200.0,85199.6,48.57498576,164
2025-04-12 15:35:00,1744472100,85168.9,85168.9,85168.8,85168.9,85168.8,0.7311414,12
2025-04-12 15:34:00,1744472040,85168.9,85168.9,85168.8,85168.8,85168.8,0.34308646,9
2025-04-12 15:33:00,1744471980,85104.0,85168.9,85104.0,85168.8,85151.7,0.44580084,33
2025-04-12 15:32:00,1744471920,85087.0,85122.0,85086.9,85098.5,85104.0,0.29288097,27
2025-04-12 15:31:00,1744471860,85087.0,85087.0,85086.9,85086.9,85086.9,0.14789403,17
2025-04-12 15:30:00,1744471800,85130.0,85130.4,85086.0,85086.9,85129.0,5.1878905,47
2025-04-12 15:29:00,1744471740,85111.6,85130.0,85111.6,85130.0,85128.0,0.06951464,25
2025-04-12 15:28:00,1744471680,85000.0,85111.7,85000.0,85102.7,85091.7,0.22363756,40
2025-04-12 15:27:00,1744471620,85006.1,85006.1,84999.9,84999.9,85000.1,0.12673202,20
2025-04-12 15:26:00,1744471560,85000.0,85009.0,85000.0,85006.0,85006.9,0.57926411,21
2025-04-12 15:25:00,1744471500,84990.1,84999.9,84990.1,84999.9,84999.5,0.02781001,8
2025-04-12 15:24:00,1744471440,85000.0,85000.0,84975.9,84990.0,84980.4,0.80813572,20
2025-04-12 15:23:00,1744471380,84976.2,85000.0,84976.2,85000.0,84999.8,0.97206043,24
2025-04-12 15:22:00,1744471320,85001.7,85033.4,84969.7,84969.9,84978.9,0.42771492,33
2025-04-12 15:21:00,1744471260,85046.0,85050.0,84973.1,84998.7,85005.9,1.34973799,54
2025-04-12 15:20:00,1744471200,84937.6,85045.9,84937.5,85045.9,84992.5,2.85957107,60
2025-04-12 15:19:00,1744471140,84850.0,84937.6,84849.9,84937.6,84851.0,4.49786819,57
2025-04-12 15:18:00,1744471080,84850.0,84850.0,84849.9,84850.0,84849.9,0.51941206,14
2025-04-12 15:17:00,1744471020,84850.0,84850.0,84849.9,84850.0,84849.9,0.40165693,15
2025-04-12 15:16:00,1744470960,84734.8,84850.0,84734.8,84850.0,84797.3,0.42840519,40
2025-04-12 15:15:00,1744470900,84660.7,84734.8,84660.7,84734.8,84708.6,0.66672867,36
2025-04-12 15:14:00,1744470840,84649.4,84661.8,84649.3,84660.6,84653.8,0.12229878,18
2025-04-12 15:13:00,1744470780,84691.6,84699.0,84650.0,84650.0,84691.8,12.42526199,36
2025-04-12 15:12:00,1744470720,84756.7,84756.7,84679.7,84679.7,84740.0,0.44958276,39
2025-04-12 15:11:00,1744470660,84726.0,84758.9,84726.0,84756.8,84740.0,0.07973122,18
2025-04-12 15:10:00,1744470600,84650.1,84726.8,84650.0,84718.7,84673.4,3.58852023,43
2025-04-12 15:09:00,1744470540,84650.1,84650.1,84650.0,84650.1,84650.0,0.37629294,12
2025-04-12 15:08:00,1744470480,84679.4,84679.4,84650.0,84650.0,84662.5,0.1165354,25
2025-04-12 15:07:00,1744470420,84709.1,84709.1,84677.1,84679.3,84679.7,1.65439662,33
2025-04-12 15:06:00,1744470360,84789.0,84789.0,84709.0,84709.1,84745.8,0.04198762,35
2025-04-12 15:05:00,1744470300,84870.0,84870.0,84796.2,84796.2,84814.8,3.31054042,45
2025-04-12 15:04:00,1744470240,84832.6,84869.9,84832.6,84869.9,84862.6,0.21199478,13
2025-04-12 15:03:00,1744470180,84914.9,84919.8,84828.7,84828.7,84913.2,4.71388949,53
2025-04-12 15:02:00,1744470120,84858.0,84909.8,84857.9,84909.8,84908.2,1.04179067,28
2025-04-12 15:01:00,1744470060,84855.0,84856.2,84854.9,84856.2,84856.0,2.08098152,15
2025-04-12 15:00:00,1744470000,84870.0,84878.4,84842.1,84853.1,84849.7,1.13616056,53
2025-04-12 14:59:00,1744469940,84897.1,84897.1,84879.0,84879.0,84891.2,0.02284888,15
2025-04-12 14:58:00,1744469880,84915.0,84918.0,84897.0,84897.0,84906.1,12.06766318,38
2025-04-12 14:57:00,1744469820,84924.1,84951.0,84906.0,84906.0,84942.0,0.90845238,22
2025-04-12 14:56:00,1744469760,84985.1,84985.1,84894.3,84924.1,84971.1,10.75025173,46
2025-04-12 14:55:00,1744469700,84971.9,84985.0,84969.3,84984.9,84981.1,7.12902077,28
2025-04-12 14:54:00,1744469640,84948.9,84969.6,84948.8,84969.6,84951.6,1.08900591,28
2025-04-12 14:53:00,1744469580,84850.0,84948.9,84850.0,84948.8,84922.3,24.20331255,99
2025-04-12 14:52:00,1744469520,84750.0,84850.0,84749.9,84849.9,84750.4,1.58676746,43
2025-04-12 14:51:00,1744469460,84743.4,84750.0,84709.0,84750.0,84749.3,2.03882231,33
2025-04-12 14:50:00,1744469400,84726.0,84743.4,84709.1,84742.1,84743.1,20.04264014,55
2025-04-12 14:49:00,1744469340,84743.6,84743.6,84726.1,84726.1,84743.4,0.10937583,23
2025-04-12 14:48:00,1744469280,84758.3,84758.3,84743.5,84743.6,84750.8,0.29471039,26
2025-04-12 14:47:00,1744469220,84771.8,84771.8,84751.1,84758.4,84766.6,0.14190468,30
2025-04-12 14:46:00,1744469160,84798.0,84798.0,84771.8,84771.8,84773.0,0.03091314,13
2025-04-12 14:45:00,1744469100,84859.5,84859.5,84798.1,84798.1,84857.9,0.17734349,40
2025-04-12 14:44:00,1744469040,84859.5,84859.5,84859.5,84859.5,84859.5,0.16698039,10
2025-04-12 14:43:00,1744468980,84865.4,84868.3,84859.4,84859.4,84865.1,0.26780477,12
2025-04-12 14:42:00,1744468920,84811.1,84865.4,84798.1,84865.3,84827.5,6.13161274,37
2025-04-12 14:41:00,1744468860,84915.0,84915.1,84811.1,84811.1,84891.9,1.14405024,59
